Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
July Release tcs,Firefox 72.0,,,2020-08-18 23:59:52,2020-08-19 00:02:15,2m - 23.299s,FAILED
,,,,,,,
Test Cases/TestCase1_Helth care,Firefox 72.0,,,2020-08-18 23:59:53,2020-08-19 00:02:05,2m - 11.899s,PASSED
"openBrowser("""")",Firefox 72.0,,,2020-08-18 23:59:55,2020-08-19 00:00:59,1m - 3.764s,PASSED
"navigateToUrl(findTestData(""Testdata_Internal"").getValue(""URL"", 1))",Firefox 72.0,,,2020-08-19 00:00:59,2020-08-19 00:01:22,22.413s,PASSED
"setText(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/input_Username_username""), findTestData(""Testdata_Internal"").getValue(""UserName"", 1))",Firefox 72.0,,,2020-08-19 00:01:22,2020-08-19 00:01:24,2.864s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/input_Password_password""), findTestData(""Testdata_Internal"").getValue(""Password"", 1))",Firefox 72.0,,,2020-08-19 00:01:24,2020-08-19 00:01:26,1.192s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/button_Login""))",Firefox 72.0,,,2020-08-19 00:01:26,2020-08-19 00:01:28,2.393s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Firefox 72.0,,,2020-08-19 00:01:28,2020-08-19 00:01:30,1.853s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Firefox 72.0,,,2020-08-19 00:01:30,2020-08-19 00:01:31,0.705s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Firefox 72.0,,,2020-08-19 00:01:31,2020-08-19 00:01:32,1.060s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/td_25""))",Firefox 72.0,,,2020-08-19 00:01:32,2020-08-19 00:01:33,1.551s,PASSED
"setText(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/textarea_Comment_comment""), findTestData(""Testdata_Internal"").getValue(""Comments"", 1))",Firefox 72.0,,,2020-08-19 00:01:33,2020-08-19 00:01:35,1.748s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/button_Book Appointment""))",Firefox 72.0,,,2020-08-19 00:01:35,2020-08-19 00:01:37,1.741s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/h2_Appointment Confirmation""))",Firefox 72.0,,,2020-08-19 00:01:37,2020-08-19 00:01:38,0.995s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/p_Please be informed that your appointment _11813a""))",Firefox 72.0,,,2020-08-19 00:01:38,2020-08-19 00:01:38,0.764s,PASSED
closeBrowser(),Firefox 72.0,,,2020-08-19 00:01:38,2020-08-19 00:02:02,23.766s,PASSED
,,,,,,,
Test Cases/TestCase2_ecommerce,Firefox 72.0,,,2020-08-19 00:02:05,2020-08-19 00:02:15,10.056s,FAILED
"openBrowser("""")",Firefox 72.0,,,2020-08-19 00:02:07,2020-08-19 00:02:13,5.983s,FAILED
Video,Firefox 72.0,,,2020-08-19 00:02:15,2020-08-19 00:02:15,0.017s,PASSED
