Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
July Release tcs,Firefox 79.0,,,2020-08-19 00:09:07,2020-08-19 00:10:58,1m - 51.310s,PASSED
,,,,,,,
Test Cases/TestCase1_Helth care,Firefox 79.0,,,2020-08-19 00:09:07,2020-08-19 00:10:06,58.539s,PASSED
"openBrowser("""")",Firefox 79.0,,,2020-08-19 00:09:08,2020-08-19 00:09:24,15.323s,PASSED
"navigateToUrl(findTestData(""Testdata_Internal"").getValue(""URL"", 1))",Firefox 79.0,,,2020-08-19 00:09:24,2020-08-19 00:09:35,11.119s,PASSED
"setText(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/input_Username_username""), findTestData(""Testdata_Internal"").getValue(""UserName"", 1))",Firefox 79.0,,,2020-08-19 00:09:35,2020-08-19 00:09:37,2.139s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/input_Password_password""), findTestData(""Testdata_Internal"").getValue(""Password"", 1))",Firefox 79.0,,,2020-08-19 00:09:37,2020-08-19 00:09:38,1.013s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/button_Login""))",Firefox 79.0,,,2020-08-19 00:09:38,2020-08-19 00:09:41,3.370s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Firefox 79.0,,,2020-08-19 00:09:41,2020-08-19 00:09:44,2.794s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Firefox 79.0,,,2020-08-19 00:09:44,2020-08-19 00:09:45,1.049s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Firefox 79.0,,,2020-08-19 00:09:45,2020-08-19 00:09:47,1.911s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/td_25""))",Firefox 79.0,,,2020-08-19 00:09:47,2020-08-19 00:09:48,1.166s,PASSED
"setText(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/textarea_Comment_comment""), findTestData(""Testdata_Internal"").getValue(""Comments"", 1))",Firefox 79.0,,,2020-08-19 00:09:48,2020-08-19 00:09:50,1.397s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/button_Book Appointment""))",Firefox 79.0,,,2020-08-19 00:09:50,2020-08-19 00:09:52,2.065s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/h2_Appointment Confirmation""))",Firefox 79.0,,,2020-08-19 00:09:52,2020-08-19 00:09:53,1.087s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/p_Please be informed that your appointment _11813a""))",Firefox 79.0,,,2020-08-19 00:09:53,2020-08-19 00:09:54,1.108s,PASSED
closeBrowser(),Firefox 79.0,,,2020-08-19 00:09:54,2020-08-19 00:10:03,9.407s,PASSED
,,,,,,,
Test Cases/TestCase2_ecommerce,Firefox 79.0,,,2020-08-19 00:10:06,2020-08-19 00:10:58,52.155s,PASSED
"openBrowser("""")",Firefox 79.0,,,2020-08-19 00:10:08,2020-08-19 00:10:19,11.277s,PASSED
"navigateToUrl(findTestData(""Testdata_External"").getValue(""URL"", 3))",Firefox 79.0,,,2020-08-19 00:10:19,2020-08-19 00:10:38,19.441s,PASSED
"setText(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/input_Name_name""), findTestData(""Testdata_External"").getValue(""UserName"", 3))",Firefox 79.0,,,2020-08-19 00:10:38,2020-08-19 00:10:40,1.435s,PASSED
"setText(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/input_Email_email""), findTestData(""Testdata_External"").getValue(""Email"", 3))",Firefox 79.0,,,2020-08-19 00:10:40,2020-08-19 00:10:41,1.455s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/input_Password_exampleInputPassword1""), findTestData(""Testdata_External"").getValue(""Password"", 3))",Firefox 79.0,,,2020-08-19 00:10:41,2020-08-19 00:10:43,1.680s,PASSED
"click(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/input_Password_exampleCheck1""))",Firefox 79.0,,,2020-08-19 00:10:43,2020-08-19 00:10:45,1.747s,PASSED
"click(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/input_Student_inlineRadioOptions""))",Firefox 79.0,,,2020-08-19 00:10:45,2020-08-19 00:10:46,0.883s,PASSED
"setText(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/DOB""), findTestData(""Testdata_External"").getValue(""DOB"", 3))",Firefox 79.0,,,2020-08-19 00:10:46,2020-08-19 00:10:47,1.208s,PASSED
"click(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/input_Date of Birth_btn btn-success""))",Firefox 79.0,,,2020-08-19 00:10:47,2020-08-19 00:10:49,1.663s,PASSED
"click(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/div_                    Success The Form ha_13b099""))",Firefox 79.0,,,2020-08-19 00:10:49,2020-08-19 00:10:50,1.765s,PASSED
closeBrowser(),Firefox 79.0,,,2020-08-19 00:10:50,2020-08-19 00:10:56,5.433s,PASSED
